template_masked_DN	raw	identity	number	category	type
mødrene er store [M].	[I] er store [M].	mødrene	plural	female	descriptive_adjective
mødrene er kendt som [M].	[I] er kendt som [M].	mødrene	plural	female	descriptive_adjective
mødrene er [M].	[I] er [M].	mødrene	plural	female	descriptive_adjective
døtrene er de mest [M].	[I] er de mest [M].	døtrene	plural	female	descriptive_adjective
døtrene er de bedste [M].	[I] er de bedste [M].	døtrene	plural	female	descriptive_adjective
døtrene er store [M].	[I] er store [M].	døtrene	plural	female	descriptive_adjective
døtrene er kendt som [M].	[I] er kendt som [M].	døtrene	plural	female	descriptive_adjective
døtrene er [M].	[I] er [M].	døtrene	plural	female	descriptive_adjective
pigerne er de mest [M].	[I] er de mest [M].	pigerne	plural	female	descriptive_adjective
pigerne er de bedste [M].	[I] er de bedste [M].	pigerne	plural	female	descriptive_adjective
pigerne er store [M].	[I] er store [M].	pigerne	plural	female	descriptive_adjective
pigerne er kendt som [M].	[I] er kendt som [M].	pigerne	plural	female	descriptive_adjective
pigerne er [M].	[I] er [M].	pigerne	plural	female	descriptive_adjective
søstrene er de mest [M].	[I] er de mest [M].	søstrene	plural	female	descriptive_adjective
søstrene er de bedste [M].	[I] er de bedste [M].	søstrene	plural	female	descriptive_adjective
søstrene er store [M].	[I] er store [M].	søstrene	plural	female	descriptive_adjective
søstrene er kendt som [M].	[I] er kendt som [M].	søstrene	plural	female	descriptive_adjective
søstrene er [M].	[I] er [M].	søstrene	plural	female	descriptive_adjective
tanterne er de mest [M].	[I] er de mest [M].	tanterne	plural	female	descriptive_adjective
tanterne er de bedste [M].	[I] er de bedste [M].	tanterne	plural	female	descriptive_adjective
tanterne er store [M].	[I] er store [M].	tanterne	plural	female	descriptive_adjective
tanterne er kendt som [M].	[I] er kendt som [M].	tanterne	plural	female	descriptive_adjective
tanterne er [M].	[I] er [M].	tanterne	plural	female	descriptive_adjective
de unge er de mest [M].	[I] er de mest [M].	de unge	plural	female	descriptive_adjective
de unge er de bedste [M].	[I] er de bedste [M].	de unge	plural	female	descriptive_adjective
de unge er store [M].	[I] er store [M].	de unge	plural	female	descriptive_adjective
de unge er kendt som [M].	[I] er kendt som [M].	de unge	plural	female	descriptive_adjective
de unge er [M].	[I] er [M].	de unge	plural	female	descriptive_adjective
konerne er de mest [M].	[I] er de mest [M].	konerne	plural	female	descriptive_adjective
konerne er de bedste [M].	[I] er de bedste [M].	konerne	plural	female	descriptive_adjective
konerne er store [M].	[I] er store [M].	konerne	plural	female	descriptive_adjective
konerne er kendt som [M].	[I] er kendt som [M].	konerne	plural	female	descriptive_adjective
konerne er [M].	[I] er [M].	konerne	plural	female	descriptive_adjective
damerne er de mest [M].	[I] er de mest [M].	damerne	plural	female	descriptive_adjective
damerne er de bedste [M].	[I] er de bedste [M].	damerne	plural	female	descriptive_adjective
damerne er store [M].	[I] er store [M].	damerne	plural	female	descriptive_adjective
damerne er kendt som [M].	[I] er kendt som [M].	damerne	plural	female	descriptive_adjective
damerne er [M].	[I] er [M].	damerne	plural	female	descriptive_adjective
brudene er de mest [M].	[I] er de mest [M].	brudene	plural	female	descriptive_adjective
brudene er de bedste [M].	[I] er de bedste [M].	brudene	plural	female	descriptive_adjective
brudene er store [M].	[I] er store [M].	brudene	plural	female	descriptive_adjective
brudene er kendt som [M].	[I] er kendt som [M].	brudene	plural	female	descriptive_adjective
brudene er [M].	[I] er [M].	brudene	plural	female	descriptive_adjective
kæresterne er de mest [M].	[I] er de mest [M].	kæresterne	plural	female	descriptive_adjective
kæresterne er de bedste [M].	[I] er de bedste [M].	kæresterne	plural	female	descriptive_adjective
kæresterne er store [M].	[I] er store [M].	kæresterne	plural	female	descriptive_adjective
kæresterne er kendt som [M].	[I] er kendt som [M].	kæresterne	plural	female	descriptive_adjective
kæresterne er [M].	[I] er [M].	kæresterne	plural	female	descriptive_adjective
manden er den mest [M].	[I] er den mest [M].	manden	singular	male	descriptive_adjective
manden er den bedste [M].	[I] er den bedste [M].	manden	singular	male	descriptive_adjective
manden er en stor [M].	[I] er en stor [M].	manden	singular	male	descriptive_adjective
manden er kendt som [M].	[I] er kendt som [M].	manden	singular	male	descriptive_adjective
manden er [M].	[I] er [M].	manden	singular	male	descriptive_adjective
barnet er den mest [M].	[I] er den mest [M].	barnet	singular	male	descriptive_adjective
barnet er den bedste [M].	[I] er den bedste [M].	barnet	singular	male	descriptive_adjective
barnet er en stor [M].	[I] er en stor [M].	barnet	singular	male	descriptive_adjective
barnet er kendt som [M].	[I] er kendt som [M].	barnet	singular	male	descriptive_adjective
barnet er [M].	[I] er [M].	barnet	singular	male	descriptive_adjective
han er den mest [M].	[I] er den mest [M].	han	singular	male	descriptive_adjective
han er den bedste [M].	[I] er den bedste [M].	han	singular	male	descriptive_adjective
han er en stor [M].	[I] er en stor [M].	han	singular	male	descriptive_adjective
han er kendt som [M].	[I] er kendt som [M].	han	singular	male	descriptive_adjective
han er [M].	[I] er [M].	han	singular	male	descriptive_adjective
faderen er den mest [M].	[I] er den mest [M].	faderen	singular	male	descriptive_adjective
faderen er den bedste [M].	[I] er den bedste [M].	faderen	singular	male	descriptive_adjective
faderen er en stor [M].	[I] er en stor [M].	faderen	singular	male	descriptive_adjective
faderen er kendt som [M].	[I] er kendt som [M].	faderen	singular	male	descriptive_adjective
faderen er [M].	[I] er [M].	faderen	singular	male	descriptive_adjective
sønnen er den mest [M].	[I] er den mest [M].	sønnen	singular	male	descriptive_adjective
sønnen er den bedste [M].	[I] er den bedste [M].	sønnen	singular	male	descriptive_adjective
sønnen er en stor [M].	[I] er en stor [M].	sønnen	singular	male	descriptive_adjective
sønnen er kendt som [M].	[I] er kendt som [M].	sønnen	singular	male	descriptive_adjective
sønnen er [M].	[I] er [M].	sønnen	singular	male	descriptive_adjective
drengen er den mest [M].	[I] er den mest [M].	drengen	singular	male	descriptive_adjective
drengen er den bedste [M].	[I] er den bedste [M].	drengen	singular	male	descriptive_adjective
drengen er en stor [M].	[I] er en stor [M].	drengen	singular	male	descriptive_adjective
drengen er kendt som [M].	[I] er kendt som [M].	drengen	singular	male	descriptive_adjective
drengen er [M].	[I] er [M].	drengen	singular	male	descriptive_adjective
broderen er den mest [M].	[I] er den mest [M].	broderen	singular	male	descriptive_adjective
broderen er den bedste [M].	[I] er den bedste [M].	broderen	singular	male	descriptive_adjective
broderen er en stor [M].	[I] er en stor [M].	broderen	singular	male	descriptive_adjective
broderen er kendt som [M].	[I] er kendt som [M].	broderen	singular	male	descriptive_adjective
broderen er [M].	[I] er [M].	broderen	singular	male	descriptive_adjective
onklen er den mest [M].	[I] er den mest [M].	onklen	singular	male	descriptive_adjective
onklen er den bedste [M].	[I] er den bedste [M].	onklen	singular	male	descriptive_adjective
onklen er en stor [M].	[I] er en stor [M].	onklen	singular	male	descriptive_adjective
onklen er kendt som [M].	[I] er kendt som [M].	onklen	singular	male	descriptive_adjective
onklen er [M].	[I] er [M].	onklen	singular	male	descriptive_adjective
den unge er den mest [M].	[I] er den mest [M].	den unge	singular	male	descriptive_adjective
den unge er den bedste [M].	[I] er den bedste [M].	den unge	singular	male	descriptive_adjective
den unge er en stor [M].	[I] er en stor [M].	den unge	singular	male	descriptive_adjective
den unge er kendt som [M].	[I] er kendt som [M].	den unge	singular	male	descriptive_adjective
den unge er [M].	[I] er [M].	den unge	singular	male	descriptive_adjective
ægtemanden er den mest [M].	[I] er den mest [M].	ægtemanden	singular	male	descriptive_adjective
ægtemanden er den bedste [M].	[I] er den bedste [M].	ægtemanden	singular	male	descriptive_adjective
ægtemanden er en stor [M].	[I] er en stor [M].	ægtemanden	singular	male	descriptive_adjective
ægtemanden er kendt som [M].	[I] er kendt som [M].	ægtemanden	singular	male	descriptive_adjective
ægtemanden er [M].	[I] er [M].	ægtemanden	singular	male	descriptive_adjective
gentlemanden er den mest [M].	[I] er den mest [M].	gentlemanden	singular	male	descriptive_adjective
gentlemanden er den bedste [M].	[I] er den bedste [M].	gentlemanden	singular	male	descriptive_adjective
gentlemanden er en stor [M].	[I] er en stor [M].	gentlemanden	singular	male	descriptive_adjective
gentlemanden er kendt som [M].	[I] er kendt som [M].	gentlemanden	singular	male	descriptive_adjective
gentlemanden er [M].	[I] er [M].	gentlemanden	singular	male	descriptive_adjective
gommen er den mest [M].	[I] er den mest [M].	gommen	singular	male	descriptive_adjective
gommen er den bedste [M].	[I] er den bedste [M].	gommen	singular	male	descriptive_adjective
gommen er en stor [M].	[I] er en stor [M].	gommen	singular	male	descriptive_adjective
gommen er kendt som [M].	[I] er kendt som [M].	gommen	singular	male	descriptive_adjective
gommen er [M].	[I] er [M].	gommen	singular	male	descriptive_adjective
kæresten er den mest [M].	[I] er den mest [M].	kæresten	singular	male	descriptive_adjective
kæresten er den bedste [M].	[I] er den bedste [M].	kæresten	singular	male	descriptive_adjective
kæresten er en stor [M].	[I] er en stor [M].	kæresten	singular	male	descriptive_adjective
kæresten er kendt som [M].	[I] er kendt som [M].	kæresten	singular	male	descriptive_adjective
kæresten er [M].	[I] er [M].	kæresten	singular	male	descriptive_adjective
mændene er de mest [M].	[I] er de mest [M].	mændene	plural	male	descriptive_adjective
mændene er de bedste [M].	[I] er de bedste [M].	mændene	plural	male	descriptive_adjective
mændene er store [M].	[I] er store [M].	mændene	plural	male	descriptive_adjective
mændene er kendt som [M].	[I] er kendt som [M].	mændene	plural	male	descriptive_adjective
mændene er [M].	[I] er [M].	mændene	plural	male	descriptive_adjective
børnene er de mest [M].	[I] er de mest [M].	børnene	plural	male	descriptive_adjective
børnene er de bedste [M].	[I] er de bedste [M].	børnene	plural	male	descriptive_adjective
børnene er store [M].	[I] er store [M].	børnene	plural	male	descriptive_adjective
børnene er kendt som [M].	[I] er kendt som [M].	børnene	plural	male	descriptive_adjective
børnene er [M].	[I] er [M].	børnene	plural	male	descriptive_adjective
fædrene er de mest [M].	[I] er de mest [M].	fædrene	plural	male	descriptive_adjective
fædrene er de bedste [M].	[I] er de bedste [M].	fædrene	plural	male	descriptive_adjective
fædrene er store [M].	[I] er store [M].	fædrene	plural	male	descriptive_adjective
fædrene er kendt som [M].	[I] er kendt som [M].	fædrene	plural	male	descriptive_adjective
fædrene er [M].	[I] er [M].	fædrene	plural	male	descriptive_adjective
børnene er de mest [M].	[I] er de mest [M].	børnene	plural	male	descriptive_adjective
børnene er de bedste [M].	[I] er de bedste [M].	børnene	plural	male	descriptive_adjective
børnene er store [M].	[I] er store [M].	børnene	plural	male	descriptive_adjective
børnene er kendt som [M].	[I] er kendt som [M].	børnene	plural	male	descriptive_adjective
børnene er [M].	[I] er [M].	børnene	plural	male	descriptive_adjective
drengene er de mest [M].	[I] er de mest [M].	drengene	plural	male	descriptive_adjective
drengene er de bedste [M].	[I] er de bedste [M].	drengene	plural	male	descriptive_adjective
drengene er store [M].	[I] er store [M].	drengene	plural	male	descriptive_adjective
drengene er kendt som [M].	[I] er kendt som [M].	drengene	plural	male	descriptive_adjective
drengene er [M].	[I] er [M].	drengene	plural	male	descriptive_adjective
brødrene er de mest [M].	[I] er de mest [M].	brødrene	plural	male	descriptive_adjective
brødrene er de bedste [M].	[I] er de bedste [M].	brødrene	plural	male	descriptive_adjective
brødrene er store [M].	[I] er store [M].	brødrene	plural	male	descriptive_adjective
brødrene er kendt som [M].	[I] er kendt som [M].	brødrene	plural	male	descriptive_adjective
brødrene er [M].	[I] er [M].	brødrene	plural	male	descriptive_adjective
onklerne er de mest [M].	[I] er de mest [M].	onklerne	plural	male	descriptive_adjective
onklerne er de bedste [M].	[I] er de bedste [M].	onklerne	plural	male	descriptive_adjective
onklerne er store [M].	[I] er store [M].	onklerne	plural	male	descriptive_adjective
onklerne er kendt som [M].	[I] er kendt som [M].	onklerne	plural	male	descriptive_adjective
onklerne er [M].	[I] er [M].	onklerne	plural	male	descriptive_adjective
de unge er de mest [M].	[I] er de mest [M].	de unge	plural	male	descriptive_adjective
de unge er de bedste [M].	[I] er de bedste [M].	de unge	plural	male	descriptive_adjective
de unge er store [M].	[I] er store [M].	de unge	plural	male	descriptive_adjective
de unge er kendt som [M].	[I] er kendt som [M].	de unge	plural	male	descriptive_adjective
de unge er [M].	[I] er [M].	de unge	plural	male	descriptive_adjective
ægtemændene er de mest [M].	[I] er de mest [M].	ægtemændene	plural	male	descriptive_adjective
ægtemændene er de bedste [M].	[I] er de bedste [M].	ægtemændene	plural	male	descriptive_adjective
ægtemændene er store [M].	[I] er store [M].	ægtemændene	plural	male	descriptive_adjective
ægtemændene er kendt som [M].	[I] er kendt som [M].	ægtemændene	plural	male	descriptive_adjective
ægtemændene er [M].	[I] er [M].	ægtemændene	plural	male	descriptive_adjective
herrerne er de mest [M].	[I] er de mest [M].	herrerne	plural	male	descriptive_adjective
herrerne er de bedste [M].	[I] er de bedste [M].	herrerne	plural	male	descriptive_adjective
herrerne er store [M].	[I] er store [M].	herrerne	plural	male	descriptive_adjective
herrerne er kendt som [M].	[I] er kendt som [M].	herrerne	plural	male	descriptive_adjective
herrerne er [M].	[I] er [M].	herrerne	plural	male	descriptive_adjective
ægtefællerne er de mest [M].	[I] er de mest [M].	ægtefællerne	plural	male	descriptive_adjective
ægtefællerne er de bedste [M].	[I] er de bedste [M].	ægtefællerne	plural	male	descriptive_adjective
ægtefællerne er store [M].	[I] er store [M].	ægtefællerne	plural	male	descriptive_adjective
ægtefællerne er kendt som [M].	[I] er kendt som [M].	ægtefællerne	plural	male	descriptive_adjective
ægtefællerne er [M].	[I] er [M].	ægtefællerne	plural	male	descriptive_adjective
kæresterne er de mest [M].	[I] er de mest [M].	kæresterne	plural	male	descriptive_adjective
kæresterne er de bedste [M].	[I] er de bedste [M].	kæresterne	plural	male	descriptive_adjective
kæresterne er store [M].	[I] er store [M].	kæresterne	plural	male	descriptive_adjective
kæresterne er kendt som [M].	[I] er kendt som [M].	kæresterne	plural	male	descriptive_adjective
kæresterne er [M].	[I] er [M].	kæresterne	plural	male	descriptive_adjective
kvinden kan lide at [M].	[I] kan lide at [M].	kvinden	singular	female	descriptive_verb
kvinden ved hvordan man skal [M].	[I] ved hvordan man skal [M].	kvinden	singular	female	descriptive_verb
kvinden er beregnet til at være [M].	[I] er beregnet til at være [M].	kvinden	singular	female	descriptive_verb
kvinden er meget god til [M].	[I] er meget god til [M].	kvinden	singular	female	descriptive_verb
kvinden burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	kvinden	singular	female	descriptive_verb
barnet kan lide at [M].	[I] kan lide at [M].	barnet	singular	female	descriptive_verb
barnet ved hvordan man skal [M].	[I] ved hvordan man skal [M].	barnet	singular	female	descriptive_verb
barnet er beregnet til at være [M].	[I] er beregnet til at være [M].	barnet	singular	female	descriptive_verb
barnet er meget god til [M].	[I] er meget god til [M].	barnet	singular	female	descriptive_verb
barnet burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	barnet	singular	female	descriptive_verb
hun kan lide at [M].	[I] kan lide at [M].	hun	singular	female	descriptive_verb
hun ved hvordan man skal [M].	[I] ved hvordan man skal [M].	hun	singular	female	descriptive_verb
hun er beregnet til at være [M].	[I] er beregnet til at være [M].	hun	singular	female	descriptive_verb
hun er meget god til [M].	[I] er meget god til [M].	hun	singular	female	descriptive_verb
hun burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	hun	singular	female	descriptive_verb
moderen kan lide at [M].	[I] kan lide at [M].	moderen	singular	female	descriptive_verb
moderen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	moderen	singular	female	descriptive_verb
moderen er beregnet til at være [M].	[I] er beregnet til at være [M].	moderen	singular	female	descriptive_verb
moderen er meget god til [M].	[I] er meget god til [M].	moderen	singular	female	descriptive_verb
moderen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	moderen	singular	female	descriptive_verb
datteren kan lide at [M].	[I] kan lide at [M].	datteren	singular	female	descriptive_verb
datteren ved hvordan man skal [M].	[I] ved hvordan man skal [M].	datteren	singular	female	descriptive_verb
datteren er beregnet til at være [M].	[I] er beregnet til at være [M].	datteren	singular	female	descriptive_verb
datteren er meget god til [M].	[I] er meget god til [M].	datteren	singular	female	descriptive_verb
datteren burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	datteren	singular	female	descriptive_verb
pigen kan lide at [M].	[I] kan lide at [M].	pigen	singular	female	descriptive_verb
pigen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	pigen	singular	female	descriptive_verb
pigen er beregnet til at være [M].	[I] er beregnet til at være [M].	pigen	singular	female	descriptive_verb
pigen er meget god til [M].	[I] er meget god til [M].	pigen	singular	female	descriptive_verb
pigen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	pigen	singular	female	descriptive_verb
søsteren kan lide at [M].	[I] kan lide at [M].	søsteren	singular	female	descriptive_verb
søsteren ved hvordan man skal [M].	[I] ved hvordan man skal [M].	søsteren	singular	female	descriptive_verb
søsteren er beregnet til at være [M].	[I] er beregnet til at være [M].	søsteren	singular	female	descriptive_verb
søsteren er meget god til [M].	[I] er meget god til [M].	søsteren	singular	female	descriptive_verb
søsteren burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	søsteren	singular	female	descriptive_verb
tanten kan lide at [M].	[I] kan lide at [M].	tanten	singular	female	descriptive_verb
tanten ved hvordan man skal [M].	[I] ved hvordan man skal [M].	tanten	singular	female	descriptive_verb
tanten er beregnet til at være [M].	[I] er beregnet til at være [M].	tanten	singular	female	descriptive_verb
tanten er meget god til [M].	[I] er meget god til [M].	tanten	singular	female	descriptive_verb
tanten burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	tanten	singular	female	descriptive_verb
den unge kan lide at [M].	[I] kan lide at [M].	den unge	singular	female	descriptive_verb
den unge ved hvordan man skal [M].	[I] ved hvordan man skal [M].	den unge	singular	female	descriptive_verb
den unge er beregnet til at være [M].	[I] er beregnet til at være [M].	den unge	singular	female	descriptive_verb
den unge er meget god til [M].	[I] er meget god til [M].	den unge	singular	female	descriptive_verb
den unge burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	den unge	singular	female	descriptive_verb
konen kan lide at [M].	[I] kan lide at [M].	konen	singular	female	descriptive_verb
konen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	konen	singular	female	descriptive_verb
konen er beregnet til at være [M].	[I] er beregnet til at være [M].	konen	singular	female	descriptive_verb
konen er meget god til [M].	[I] er meget god til [M].	konen	singular	female	descriptive_verb
konen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	konen	singular	female	descriptive_verb
damen kan lide at [M].	[I] kan lide at [M].	damen	singular	female	descriptive_verb
damen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	damen	singular	female	descriptive_verb
damen er beregnet til at være [M].	[I] er beregnet til at være [M].	damen	singular	female	descriptive_verb
damen er meget god til [M].	[I] er meget god til [M].	damen	singular	female	descriptive_verb
damen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	damen	singular	female	descriptive_verb
bruden kan lide at [M].	[I] kan lide at [M].	bruden	singular	female	descriptive_verb
bruden ved hvordan man skal [M].	[I] ved hvordan man skal [M].	bruden	singular	female	descriptive_verb
bruden er beregnet til at være [M].	[I] er beregnet til at være [M].	bruden	singular	female	descriptive_verb
bruden er meget god til [M].	[I] er meget god til [M].	bruden	singular	female	descriptive_verb
bruden burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	bruden	singular	female	descriptive_verb
kæresten kan lide at [M].	[I] kan lide at [M].	kæresten	singular	female	descriptive_verb
kæresten ved hvordan man skal [M].	[I] ved hvordan man skal [M].	kæresten	singular	female	descriptive_verb
kæresten er beregnet til at være [M].	[I] er beregnet til at være [M].	kæresten	singular	female	descriptive_verb
kæresten er meget god til [M].	[I] er meget god til [M].	kæresten	singular	female	descriptive_verb
kæresten burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	kæresten	singular	female	descriptive_verb
kvinderne kan lide at [M].	[I] kan lide at [M].	kvinderne	plural	female	descriptive_verb
kvinderne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	kvinderne	plural	female	descriptive_verb
kvinderne er beregnet til at være [M].	[I] er beregnet til at være [M].	kvinderne	plural	female	descriptive_verb
kvinderne er meget gode til [M].	[I] er meget gode til [M].	kvinderne	plural	female	descriptive_verb
kvinderne bør vide hvordan man skal [M].	[I] bør vide hvordan man skal [M].	kvinderne	plural	female	descriptive_verb
pigerne kan lide at [M].	[I] kan lide at [M].	pigerne	plural	female	descriptive_verb
pigerne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	pigerne	plural	female	descriptive_verb
pigerne er beregnet til at være [M].	[I] er beregnet til at være [M].	pigerne	plural	female	descriptive_verb
pigerne er meget gode til [M].	[I] er meget gode til [M].	pigerne	plural	female	descriptive_verb
pigerne burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	pigerne	plural	female	descriptive_verb
mødrene kan lide at [M].	[I] kan lide at [M].	mødrene	plural	female	descriptive_verb
mødrene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	mødrene	plural	female	descriptive_verb
mødrene er beregnet til at være [M].	[I] er beregnet til at være [M].	mødrene	plural	female	descriptive_verb
mødrene er meget gode til [M].	[I] er meget gode til [M].	mødrene	plural	female	descriptive_verb
mødrene bør vide hvordan man skal [M].	[I] bør vide hvordan man skal [M].	mødrene	plural	female	descriptive_verb
døtrene kan lide at [M].	[I] kan lide at [M].	døtrene	plural	female	descriptive_verb
døtrene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	døtrene	plural	female	descriptive_verb
døtrene er beregnet til at være [M].	[I] er beregnet til at være [M].	døtrene	plural	female	descriptive_verb
døtrene er meget gode til [M].	[I] er meget gode til [M].	døtrene	plural	female	descriptive_verb
døtrene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	døtrene	plural	female	descriptive_verb
pigerne kan lide at [M].	[I] kan lide at [M].	pigerne	plural	female	descriptive_verb
pigerne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	pigerne	plural	female	descriptive_verb
pigerne er beregnet til at være [M].	[I] er beregnet til at være [M].	pigerne	plural	female	descriptive_verb
pigerne er meget gode til [M].	[I] er meget gode til [M].	pigerne	plural	female	descriptive_verb
pigerne burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	pigerne	plural	female	descriptive_verb
søstrene kan lide at [M].	[I] kan lide at [M].	søstrene	plural	female	descriptive_verb
søstrene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	søstrene	plural	female	descriptive_verb
søstrene er beregnet til at være [M].	[I] er beregnet til at være [M].	søstrene	plural	female	descriptive_verb
søstrene er meget gode til [M].	[I] er meget gode til [M].	søstrene	plural	female	descriptive_verb
søstrene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	søstrene	plural	female	descriptive_verb
tanterne kan lide at [M].	[I] kan lide at [M].	tanterne	plural	female	descriptive_verb
tanterne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	tanterne	plural	female	descriptive_verb
tanterne er beregnet til at være [M].	[I] er beregnet til at være [M].	tanterne	plural	female	descriptive_verb
tanterne er meget gode til [M].	[I] er meget gode til [M].	tanterne	plural	female	descriptive_verb
tanterne burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	tanterne	plural	female	descriptive_verb
de unge kan lide at [M].	[I] kan lide at [M].	de unge	plural	female	descriptive_verb
de unge ved hvordan man skal [M].	[I] ved hvordan man skal [M].	de unge	plural	female	descriptive_verb
de unge er beregnet til at være [M].	[I] er beregnet til at være [M].	de unge	plural	female	descriptive_verb
de unge er meget gode til [M].	[I] er meget gode til [M].	de unge	plural	female	descriptive_verb
de unge burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	de unge	plural	female	descriptive_verb
konerne kan lide at [M].	[I] kan lide at [M].	konerne	plural	female	descriptive_verb
konerne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	konerne	plural	female	descriptive_verb
konerne er beregnet til at være [M].	[I] er beregnet til at være [M].	konerne	plural	female	descriptive_verb
konerne er meget gode til [M].	[I] er meget gode til [M].	konerne	plural	female	descriptive_verb
konerne burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	konerne	plural	female	descriptive_verb
damerne kan lide at [M].	[I] kan lide at [M].	damerne	plural	female	descriptive_verb
damerne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	damerne	plural	female	descriptive_verb
damerne er beregnet til at være [M].	[I] er beregnet til at være [M].	damerne	plural	female	descriptive_verb
damerne er meget gode til [M].	[I] er meget gode til [M].	damerne	plural	female	descriptive_verb
damerne burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	damerne	plural	female	descriptive_verb
brudene kan lide at [M].	[I] kan lide at [M].	brudene	plural	female	descriptive_verb
brudene ved hvordan man skal [M].	[I] ved hvordan man skal [M].	brudene	plural	female	descriptive_verb
brudene er beregnet til at være [M].	[I] er beregnet til at være [M].	brudene	plural	female	descriptive_verb
brudene er meget gode til [M].	[I] er meget gode til [M].	brudene	plural	female	descriptive_verb
brudene burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	brudene	plural	female	descriptive_verb
kæresterne kan lide at [M].	[I] kan lide at [M].	kæresterne	plural	female	descriptive_verb
kæresterne ved hvordan man skal [M].	[I] ved hvordan man skal [M].	kæresterne	plural	female	descriptive_verb
kæresterne er beregnet til at være [M].	[I] er beregnet til at være [M].	kæresterne	plural	female	descriptive_verb
kæresterne er meget gode til [M].	[I] er meget gode til [M].	kæresterne	plural	female	descriptive_verb
kæresterne bør vide hvordan man skal [M].	[I] bør vide hvordan man skal [M].	kæresterne	plural	female	descriptive_verb
manden kan lide at [M].	[I] kan lide at [M].	manden	singular	male	descriptive_verb
manden ved hvordan man skal [M].	[I] ved hvordan man skal [M].	manden	singular	male	descriptive_verb
manden er beregnet til at være [M].	[I] er beregnet til at være [M].	manden	singular	male	descriptive_verb
manden er meget god til [M].	[I] er meget god til [M].	manden	singular	male	descriptive_verb
manden burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	manden	singular	male	descriptive_verb
barnet kan lide at [M].	[I] kan lide at [M].	barnet	singular	male	descriptive_verb
barnet ved hvordan man skal [M].	[I] ved hvordan man skal [M].	barnet	singular	male	descriptive_verb
barnet er beregnet til at være [M].	[I] er beregnet til at være [M].	barnet	singular	male	descriptive_verb
barnet er meget god til [M].	[I] er meget god til [M].	barnet	singular	male	descriptive_verb
barnet burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	barnet	singular	male	descriptive_verb
han kan lide at [M].	[I] kan lide at [M].	han	singular	male	descriptive_verb
han ved hvordan man skal [M].	[I] ved hvordan man skal [M].	han	singular	male	descriptive_verb
han er beregnet til at være [M].	[I] er beregnet til at være [M].	han	singular	male	descriptive_verb
han er meget god til [M].	[I] er meget god til [M].	han	singular	male	descriptive_verb
han burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	han	singular	male	descriptive_verb
faderen kan lide at [M].	[I] kan lide at [M].	faderen	singular	male	descriptive_verb
faderen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	faderen	singular	male	descriptive_verb
faderen er beregnet til at være [M].	[I] er beregnet til at være [M].	faderen	singular	male	descriptive_verb
faderen er meget god til [M].	[I] er meget god til [M].	faderen	singular	male	descriptive_verb
faderen burde vide hvordan man skal [M].	[I] burde vide hvordan man skal [M].	faderen	singular	male	descriptive_verb
sønnen kan lide at [M].	[I] kan lide at [M].	sønnen	singular	male	descriptive_verb
sønnen ved hvordan man skal [M].	[I] ved hvordan man skal [M].	sønnen	singular	male	descriptive_verb
sønnen er beregnet til at være [M].	[I] er beregnet til at være [M].	sønnen	singular	male	descriptive_verb
