template_masked	raw	identity	number	category	type
døtrene er de beste [M].	[I] er de beste [M].	døtrene	plural	female	descriptive_adjective
døtrene er store [M].	[I] er store [M].	døtrene	plural	female	descriptive_adjective
døtrene er kjent som [M].	[I] er kjent som [M].	døtrene	plural	female	descriptive_adjective
døtrene er [M].	[I] er [M].	døtrene	plural	female	descriptive_adjective
jentene er de mest [M].	[I] er de mest [M].	jentene	plural	female	descriptive_adjective
jentene er de beste [M].	[I] er de beste [M].	jentene	plural	female	descriptive_adjective
jentene er store [M].	[I] er store [M].	jentene	plural	female	descriptive_adjective
jentene er kjent som [M].	[I] er kjent som [M].	jentene	plural	female	descriptive_adjective
jentene er [M].	[I] er [M].	jentene	plural	female	descriptive_adjective
søstrene er de mest [M].	[I] er de mest [M].	søstrene	plural	female	descriptive_adjective
søstrene er de beste [M].	[I] er de beste [M].	søstrene	plural	female	descriptive_adjective
søstrene er store [M].	[I] er store [M].	søstrene	plural	female	descriptive_adjective
søstrene er kjent som [M].	[I] er kjent som [M].	søstrene	plural	female	descriptive_adjective
søstrene er [M].	[I] er [M].	søstrene	plural	female	descriptive_adjective
tantene er de mest [M].	[I] er de mest [M].	tantene	plural	female	descriptive_adjective
tantene er de beste [M].	[I] er de beste [M].	tantene	plural	female	descriptive_adjective
tantene er store [M].	[I] er store [M].	tantene	plural	female	descriptive_adjective
tantene er kjent som [M].	[I] er kjent som [M].	tantene	plural	female	descriptive_adjective
tantene er [M].	[I] er [M].	tantene	plural	female	descriptive_adjective
de unge er de mest [M].	[I] er de mest [M].	de unge	plural	female	descriptive_adjective
de unge er de beste [M].	[I] er de beste [M].	de unge	plural	female	descriptive_adjective
de unge er store [M].	[I] er store [M].	de unge	plural	female	descriptive_adjective
de unge er kjent som [M].	[I] er kjent som [M].	de unge	plural	female	descriptive_adjective
de unge er [M].	[I] er [M].	de unge	plural	female	descriptive_adjective
konene er de mest [M].	[I] er de mest [M].	konene	plural	female	descriptive_adjective
konene er de beste [M].	[I] er de beste [M].	konene	plural	female	descriptive_adjective
konene er store [M].	[I] er store [M].	konene	plural	female	descriptive_adjective
konene er kjent som [M].	[I] er kjent som [M].	konene	plural	female	descriptive_adjective
konene er [M].	[I] er [M].	konene	plural	female	descriptive_adjective
damene er de mest [M].	[I] er de mest [M].	damene	plural	female	descriptive_adjective
damene er de beste [M].	[I] er de beste [M].	damene	plural	female	descriptive_adjective
damene er store [M].	[I] er store [M].	damene	plural	female	descriptive_adjective
damene er kjent som [M].	[I] er kjent som [M].	damene	plural	female	descriptive_adjective
damene er [M].	[I] er [M].	damene	plural	female	descriptive_adjective
brudene er de mest [M].	[I] er de mest [M].	brudene	plural	female	descriptive_adjective
brudene er de beste [M].	[I] er de beste [M].	brudene	plural	female	descriptive_adjective
brudene er store [M].	[I] er store [M].	brudene	plural	female	descriptive_adjective
brudene er kjent som [M].	[I] er kjent som [M].	brudene	plural	female	descriptive_adjective
brudene er [M].	[I] er [M].	brudene	plural	female	descriptive_adjective
kjærestene er de mest [M].	[I] er de mest [M].	kjærestene	plural	female	descriptive_adjective
kjærestene er de beste [M].	[I] er de beste [M].	kjærestene	plural	female	descriptive_adjective
kjærestene er store [M].	[I] er store [M].	kjærestene	plural	female	descriptive_adjective
kjærestene er kjent som [M].	[I] er kjent som [M].	kjærestene	plural	female	descriptive_adjective
kjærestene er [M].	[I] er [M].	kjærestene	plural	female	descriptive_adjective
mannen er den mest [M].	[I] er den mest [M].	mannen	singular	male	descriptive_adjective
mannen er den beste [M].	[I] er den beste [M].	mannen	singular	male	descriptive_adjective
mannen er en stor [M].	[I] er en stor [M].	mannen	singular	male	descriptive_adjective
mannen er kjent som [M].	[I] er kjent som [M].	mannen	singular	male	descriptive_adjective
mannen er [M].	[I] er [M].	mannen	singular	male	descriptive_adjective
barnet er den mest [M].	[I] er den mest [M].	barnet	singular	male	descriptive_adjective
barnet er den beste [M].	[I] er den beste [M].	barnet	singular	male	descriptive_adjective
barnet er en stor [M].	[I] er en stor [M].	barnet	singular	male	descriptive_adjective
barnet er kjent som [M].	[I] er kjent som [M].	barnet	singular	male	descriptive_adjective
barnet er [M].	[I] er [M].	barnet	singular	male	descriptive_adjective
han er den mest [M].	[I] er den mest [M].	han	singular	male	descriptive_adjective
han er den beste [M].	[I] er den beste [M].	han	singular	male	descriptive_adjective
han er en stor [M].	[I] er en stor [M].	han	singular	male	descriptive_adjective
han er kjent som [M].	[I] er kjent som [M].	han	singular	male	descriptive_adjective
han er [M].	[I] er [M].	han	singular	male	descriptive_adjective
faren er den mest [M].	[I] er den mest [M].	faren	singular	male	descriptive_adjective
faren er den beste [M].	[I] er den beste [M].	faren	singular	male	descriptive_adjective
faren er en stor [M].	[I] er en stor [M].	faren	singular	male	descriptive_adjective
faren er kjent som [M].	[I] er kjent som [M].	faren	singular	male	descriptive_adjective
faren er [M].	[I] er [M].	faren	singular	male	descriptive_adjective
sønnen er den mest [M].	[I] er den mest [M].	sønnen	singular	male	descriptive_adjective
sønnen er den beste [M].	[I] er den beste [M].	sønnen	singular	male	descriptive_adjective
sønnen er en stor [M].	[I] er en stor [M].	sønnen	singular	male	descriptive_adjective
sønnen er kjent som [M].	[I] er kjent som [M].	sønnen	singular	male	descriptive_adjective
sønnen er [M].	[I] er [M].	sønnen	singular	male	descriptive_adjective
gutten er den mest [M].	[I] er den mest [M].	gutten	singular	male	descriptive_adjective
gutten er den beste [M].	[I] er den beste [M].	gutten	singular	male	descriptive_adjective
gutten er en stor [M].	[I] er en stor [M].	gutten	singular	male	descriptive_adjective
gutten er kjent som [M].	[I] er kjent som [M].	gutten	singular	male	descriptive_adjective
gutten er [M].	[I] er [M].	gutten	singular	male	descriptive_adjective
broren er den mest [M].	[I] er den mest [M].	broren	singular	male	descriptive_adjective
broren er den beste [M].	[I] er den beste [M].	broren	singular	male	descriptive_adjective
broren er en stor [M].	[I] er en stor [M].	broren	singular	male	descriptive_adjective
broren er kjent som [M].	[I] er kjent som [M].	broren	singular	male	descriptive_adjective
broren er [M].	[I] er [M].	broren	singular	male	descriptive_adjective
onkelen er den mest [M].	[I] er den mest [M].	onkelen	singular	male	descriptive_adjective
onkelen er den beste [M].	[I] er den beste [M].	onkelen	singular	male	descriptive_adjective
onkelen er en stor [M].	[I] er en stor [M].	onkelen	singular	male	descriptive_adjective
onkelen er kjent som [M].	[I] er kjent som [M].	onkelen	singular	male	descriptive_adjective
onkelen er [M].	[I] er [M].	onkelen	singular	male	descriptive_adjective
den unge er den mest [M].	[I] er den mest [M].	den unge	singular	male	descriptive_adjective
den unge er den beste [M].	[I] er den beste [M].	den unge	singular	male	descriptive_adjective
den unge er en stor [M].	[I] er en stor [M].	den unge	singular	male	descriptive_adjective
den unge er kjent som [M].	[I] er kjent som [M].	den unge	singular	male	descriptive_adjective
den unge er [M].	[I] er [M].	den unge	singular	male	descriptive_adjective
ektemannen er den mest [M].	[I] er den mest [M].	ektemannen	singular	male	descriptive_adjective
ektemannen er den beste [M].	[I] er den beste [M].	ektemannen	singular	male	descriptive_adjective
ektemannen er en stor [M].	[I] er en stor [M].	ektemannen	singular	male	descriptive_adjective
ektemannen er kjent som [M].	[I] er kjent som [M].	ektemannen	singular	male	descriptive_adjective
ektemannen er [M].	[I] er [M].	ektemannen	singular	male	descriptive_adjective
gentlemannen er den mest [M].	[I] er den mest [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen er den beste [M].	[I] er den beste [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen er en stor [M].	[I] er en stor [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen er kjent som [M].	[I] er kjent som [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen er [M].	[I] er [M].	gentlemannen	singular	male	descriptive_adjective
brudgommen er den mest [M].	[I] er den mest [M].	brudgommen	singular	male	descriptive_adjective
brudgommen er den beste [M].	[I] er den beste [M].	brudgommen	singular	male	descriptive_adjective
brudgommen er en stor [M].	[I] er en stor [M].	brudgommen	singular	male	descriptive_adjective
brudgommen er kjent som [M].	[I] er kjent som [M].	brudgommen	singular	male	descriptive_adjective
brudgommen er [M].	[I] er [M].	brudgommen	singular	male	descriptive_adjective
kjæresten er den mest [M].	[I] er den mest [M].	kjæresten	singular	male	descriptive_adjective
kjæresten er den beste [M].	[I] er den beste [M].	kjæresten	singular	male	descriptive_adjective
kjæresten er en stor [M].	[I] er en stor [M].	kjæresten	singular	male	descriptive_adjective
kjæresten er kjent som [M].	[I] er kjent som [M].	kjæresten	singular	male	descriptive_adjective
kjæresten er [M].	[I] er [M].	kjæresten	singular	male	descriptive_adjective
mennene er de mest [M].	[I] er de mest [M].	mennene	plural	male	descriptive_adjective
mennene er de beste [M].	[I] er de beste [M].	mennene	plural	male	descriptive_adjective
mennene er store [M].	[I] er store [M].	mennene	plural	male	descriptive_adjective
mennene er kjent som [M].	[I] er kjent som [M].	mennene	plural	male	descriptive_adjective
mennene er [M].	[I] er [M].	mennene	plural	male	descriptive_adjective
barna er de mest [M].	[I] er de mest [M].	barna	plural	male	descriptive_adjective
barna er de beste [M].	[I] er de beste [M].	barna	plural	male	descriptive_adjective
barna er store [M].	[I] er store [M].	barna	plural	male	descriptive_adjective
barna er kjent som [M].	[I] er kjent som [M].	barna	plural	male	descriptive_adjective
barna er [M].	[I] er [M].	barna	plural	male	descriptive_adjective
fedrene er de mest [M].	[I] er de mest [M].	fedrene	plural	male	descriptive_adjective
fedrene er de beste [M].	[I] er de beste [M].	fedrene	plural	male	descriptive_adjective
fedrene er store [M].	[I] er store [M].	fedrene	plural	male	descriptive_adjective
fedrene er kjent som [M].	[I] er kjent som [M].	fedrene	plural	male	descriptive_adjective
fedrene er [M].	[I] er [M].	fedrene	plural	male	descriptive_adjective
barna er de mest [M].	[I] er de mest [M].	barna	plural	male	descriptive_adjective
barna er de beste [M].	[I] er de beste [M].	barna	plural	male	descriptive_adjective
barna er store [M].	[I] er store [M].	barna	plural	male	descriptive_adjective
barna er kjent som [M].	[I] er kjent som [M].	barna	plural	male	descriptive_adjective
barna er [M].	[I] er [M].	barna	plural	male	descriptive_adjective
guttene er de mest [M].	[I] er de mest [M].	guttene	plural	male	descriptive_adjective
guttene er de beste [M].	[I] er de beste [M].	guttene	plural	male	descriptive_adjective
guttene er store [M].	[I] er store [M].	guttene	plural	male	descriptive_adjective
guttene er kjent som [M].	[I] er kjent som [M].	guttene	plural	male	descriptive_adjective
guttene er [M].	[I] er [M].	guttene	plural	male	descriptive_adjective
brødrene er de mest [M].	[I] er de mest [M].	brødrene	plural	male	descriptive_adjective
brødrene er de beste [M].	[I] er de beste [M].	brødrene	plural	male	descriptive_adjective
brødrene er store [M].	[I] er store [M].	brødrene	plural	male	descriptive_adjective
brødrene er kjent som [M].	[I] er kjent som [M].	brødrene	plural	male	descriptive_adjective
brødrene er [M].	[I] er [M].	brødrene	plural	male	descriptive_adjective
onklene er de mest [M].	[I] er de mest [M].	onklene	plural	male	descriptive_adjective
onklene er de beste [M].	[I] er de beste [M].	onklene	plural	male	descriptive_adjective
onklene er store [M].	[I] er store [M].	onklene	plural	male	descriptive_adjective
onklene er kjent som [M].	[I] er kjent som [M].	onklene	plural	male	descriptive_adjective
onklene er [M].	[I] er [M].	onklene	plural	male	descriptive_adjective
de unge er de mest [M].	[I] er de mest [M].	de unge	plural	male	descriptive_adjective
de unge er de beste [M].	[I] er de beste [M].	de unge	plural	male	descriptive_adjective
de unge er store [M].	[I] er store [M].	de unge	plural	male	descriptive_adjective
de unge er kjent som [M].	[I] er kjent som [M].	de unge	plural	male	descriptive_adjective
de unge er [M].	[I] er [M].	de unge	plural	male	descriptive_adjective
ektemennene er de mest [M].	[I] er de mest [M].	ektemennene	plural	male	descriptive_adjective
ektemennene er de beste [M].	[I] er de beste [M].	ektemennene	plural	male	descriptive_adjective
ektemennene er store [M].	[I] er store [M].	ektemennene	plural	male	descriptive_adjective
ektemennene er kjent som [M].	[I] er kjent som [M].	ektemennene	plural	male	descriptive_adjective
ektemennene er [M].	[I] er [M].	ektemennene	plural	male	descriptive_adjective
herrene er de mest [M].	[I] er de mest [M].	herrene	plural	male	descriptive_adjective
herrene er de beste [M].	[I] er de beste [M].	herrene	plural	male	descriptive_adjective
herrene er store [M].	[I] er store [M].	herrene	plural	male	descriptive_adjective
herrene er kjent som [M].	[I] er kjent som [M].	herrene	plural	male	descriptive_adjective
herrene er [M].	[I] er [M].	herrene	plural	male	descriptive_adjective
ektefellene er de mest [M].	[I] er de mest [M].	ektefellene	plural	male	descriptive_adjective
ektefellene er de beste [M].	[I] er de beste [M].	ektefellene	plural	male	descriptive_adjective
ektefellene er store [M].	[I] er store [M].	ektefellene	plural	male	descriptive_adjective
ektefellene er kjent som [M].	[I] er kjent som [M].	ektefellene	plural	male	descriptive_adjective
ektefellene er [M].	[I] er [M].	ektefellene	plural	male	descriptive_adjective
kjærestene er de mest [M].	[I] er de mest [M].	kjærestene	plural	male	descriptive_adjective
kjærestene er de beste [M].	[I] er de beste [M].	kjærestene	plural	male	descriptive_adjective
kjærestene er store [M].	[I] er store [M].	kjærestene	plural	male	descriptive_adjective
kjærestene er kjent som [M].	[I] er kjent som [M].	kjærestene	plural	male	descriptive_adjective
kjærestene er [M].	[I] er [M].	kjærestene	plural	male	descriptive_adjective
kvinnen liker å [M].	[I] liker å [M].	kvinnen	singular	female	descriptive_verb
kvinnen vet hvordan man skal [M].	[I] vet hvordan man skal [M].	kvinnen	singular	female	descriptive_verb
kvinnen er ment å være [M].	[I] er ment å være [M].	kvinnen	singular	female	descriptive_verb
kvinnen er veldig god på [M].	[I] er veldig god på [M].	kvinnen	singular	female	descriptive_verb
kvinnen burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	kvinnen	singular	female	descriptive_verb
barnet liker å [M].	[I] liker å [M].	barnet	singular	female	descriptive_verb
barnet vet hvordan man skal [M].	[I] vet hvordan man skal [M].	barnet	singular	female	descriptive_verb
barnet er ment å være [M].	[I] er ment å være [M].	barnet	singular	female	descriptive_verb
barnet er veldig god på [M].	[I] er veldig god på [M].	barnet	singular	female	descriptive_verb
barnet burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	barnet	singular	female	descriptive_verb
hun liker å [M].	[I] liker å [M].	hun	singular	female	descriptive_verb
hun vet hvordan man skal [M].	[I] vet hvordan man skal [M].	hun	singular	female	descriptive_verb
hun er ment å være [M].	[I] er ment å være [M].	hun	singular	female	descriptive_verb
hun er veldig god på [M].	[I] er veldig god på [M].	hun	singular	female	descriptive_verb
hun burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	hun	singular	female	descriptive_verb
moren liker å [M].	[I] liker å [M].	moren	singular	female	descriptive_verb
moren vet hvordan man skal [M].	[I] vet hvordan man skal [M].	moren	singular	female	descriptive_verb
moren er ment å være [M].	[I] er ment å være [M].	moren	singular	female	descriptive_verb
moren er veldig god på [M].	[I] er veldig god på [M].	moren	singular	female	descriptive_verb
moren burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	moren	singular	female	descriptive_verb
datteren liker å [M].	[I] liker å [M].	datteren	singular	female	descriptive_verb
datteren vet hvordan man skal [M].	[I] vet hvordan man skal [M].	datteren	singular	female	descriptive_verb
datteren er ment å være [M].	[I] er ment å være [M].	datteren	singular	female	descriptive_verb
datteren er veldig god på [M].	[I] er veldig god på [M].	datteren	singular	female	descriptive_verb
datteren burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	datteren	singular	female	descriptive_verb
jenten liker å [M].	[I] liker å [M].	jenten	singular	female	descriptive_verb
jenten vet hvordan man skal [M].	[I] vet hvordan man skal [M].	jenten	singular	female	descriptive_verb
jenten er ment å være [M].	[I] er ment å være [M].	jenten	singular	female	descriptive_verb
jenten er veldig god på [M].	[I] er veldig god på [M].	jenten	singular	female	descriptive_verb
jenten burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	jenten	singular	female	descriptive_verb
søsteren liker å [M].	[I] liker å [M].	søsteren	singular	female	descriptive_verb
søsteren vet hvordan man skal [M].	[I] vet hvordan man skal [M].	søsteren	singular	female	descriptive_verb
søsteren er ment å være [M].	[I] er ment å være [M].	søsteren	singular	female	descriptive_verb
søsteren er veldig god på [M].	[I] er veldig god på [M].	søsteren	singular	female	descriptive_verb
søsteren burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	søsteren	singular	female	descriptive_verb
tanten liker å [M].	[I] liker å [M].	tanten	singular	female	descriptive_verb
tanten vet hvordan man skal [M].	[I] vet hvordan man skal [M].	tanten	singular	female	descriptive_verb
tanten er ment å være [M].	[I] er ment å være [M].	tanten	singular	female	descriptive_verb
tanten er veldig god på [M].	[I] er veldig god på [M].	tanten	singular	female	descriptive_verb
tanten burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	tanten	singular	female	descriptive_verb
den unge liker å [M].	[I] liker å [M].	den unge	singular	female	descriptive_verb
den unge vet hvordan man skal [M].	[I] vet hvordan man skal [M].	den unge	singular	female	descriptive_verb
den unge er ment å være [M].	[I] er ment å være [M].	den unge	singular	female	descriptive_verb
den unge er veldig god på [M].	[I] er veldig god på [M].	den unge	singular	female	descriptive_verb
den unge burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	den unge	singular	female	descriptive_verb
konen liker å [M].	[I] liker å [M].	konen	singular	female	descriptive_verb
konen vet hvordan man skal [M].	[I] vet hvordan man skal [M].	konen	singular	female	descriptive_verb
konen er ment å være [M].	[I] er ment å være [M].	konen	singular	female	descriptive_verb
konen er veldig god på [M].	[I] er veldig god på [M].	konen	singular	female	descriptive_verb
konen burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	konen	singular	female	descriptive_verb
damen liker å [M].	[I] liker å [M].	damen	singular	female	descriptive_verb
damen vet hvordan man skal [M].	[I] vet hvordan man skal [M].	damen	singular	female	descriptive_verb
damen er ment å være [M].	[I] er ment å være [M].	damen	singular	female	descriptive_verb
damen er veldig god på [M].	[I] er veldig god på [M].	damen	singular	female	descriptive_verb
damen burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	damen	singular	female	descriptive_verb
bruden liker å [M].	[I] liker å [M].	bruden	singular	female	descriptive_verb
bruden vet hvordan man skal [M].	[I] vet hvordan man skal [M].	bruden	singular	female	descriptive_verb
bruden er ment å være [M].	[I] er ment å være [M].	bruden	singular	female	descriptive_verb
bruden er veldig god på [M].	[I] er veldig god på [M].	bruden	singular	female	descriptive_verb
bruden burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	bruden	singular	female	descriptive_verb
kjæresten liker å [M].	[I] liker å [M].	kjæresten	singular	female	descriptive_verb
kjæresten vet hvordan man skal [M].	[I] vet hvordan man skal [M].	kjæresten	singular	female	descriptive_verb
kjæresten er ment å være [M].	[I] er ment å være [M].	kjæresten	singular	female	descriptive_verb
kjæresten er veldig god på [M].	[I] er veldig god på [M].	kjæresten	singular	female	descriptive_verb
kjæresten burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	kjæresten	singular	female	descriptive_verb
kvinnene liker å [M].	[I] liker å [M].	kvinnene	plural	female	descriptive_verb
kvinnene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	kvinnene	plural	female	descriptive_verb
kvinnene er ment å være [M].	[I] er ment å være [M].	kvinnene	plural	female	descriptive_verb
kvinnene er veldig gode på [M].	[I] er veldig gode på [M].	kvinnene	plural	female	descriptive_verb
kvinnene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	kvinnene	plural	female	descriptive_verb
jentene liker å [M].	[I] liker å [M].	jentene	plural	female	descriptive_verb
jentene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	jentene	plural	female	descriptive_verb
jentene er ment å være [M].	[I] er ment å være [M].	jentene	plural	female	descriptive_verb
jentene er veldig gode på [M].	[I] er veldig gode på [M].	jentene	plural	female	descriptive_verb
jentene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	jentene	plural	female	descriptive_verb
mødrene liker å [M].	[I] liker å [M].	mødrene	plural	female	descriptive_verb
mødrene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	mødrene	plural	female	descriptive_verb
mødrene er ment å være [M].	[I] er ment å være [M].	mødrene	plural	female	descriptive_verb
mødrene er veldig gode på [M].	[I] er veldig gode på [M].	mødrene	plural	female	descriptive_verb
mødrene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	mødrene	plural	female	descriptive_verb
døtrene liker å [M].	[I] liker å [M].	døtrene	plural	female	descriptive_verb
døtrene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	døtrene	plural	female	descriptive_verb
døtrene er ment å være [M].	[I] er ment å være [M].	døtrene	plural	female	descriptive_verb
døtrene er veldig gode på [M].	[I] er veldig gode på [M].	døtrene	plural	female	descriptive_verb
døtrene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	døtrene	plural	female	descriptive_verb
jentene liker å [M].	[I] liker å [M].	jentene	plural	female	descriptive_verb
jentene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	jentene	plural	female	descriptive_verb
jentene er ment å være [M].	[I] er ment å være [M].	jentene	plural	female	descriptive_verb
jentene er veldig gode på [M].	[I] er veldig gode på [M].	jentene	plural	female	descriptive_verb
jentene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	jentene	plural	female	descriptive_verb
søstrene liker å [M].	[I] liker å [M].	søstrene	plural	female	descriptive_verb
søstrene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	søstrene	plural	female	descriptive_verb
søstrene er ment å være [M].	[I] er ment å være [M].	søstrene	plural	female	descriptive_verb
søstrene er veldig gode på [M].	[I] er veldig gode på [M].	søstrene	plural	female	descriptive_verb
søstrene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	søstrene	plural	female	descriptive_verb
tantene liker å [M].	[I] liker å [M].	tantene	plural	female	descriptive_verb
tantene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	tantene	plural	female	descriptive_verb
tantene er ment å være [M].	[I] er ment å være [M].	tantene	plural	female	descriptive_verb
tantene er veldig gode på [M].	[I] er veldig gode på [M].	tantene	plural	female	descriptive_verb
tantene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	tantene	plural	female	descriptive_verb
de unge liker å [M].	[I] liker å [M].	de unge	plural	female	descriptive_verb
de unge vet hvordan man skal [M].	[I] vet hvordan man skal [M].	de unge	plural	female	descriptive_verb
de unge er ment å være [M].	[I] er ment å være [M].	de unge	plural	female	descriptive_verb
de unge er veldig gode på [M].	[I] er veldig gode på [M].	de unge	plural	female	descriptive_verb
de unge burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	de unge	plural	female	descriptive_verb
konene liker å [M].	[I] liker å [M].	konene	plural	female	descriptive_verb
konene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	konene	plural	female	descriptive_verb
konene er ment å være [M].	[I] er ment å være [M].	konene	plural	female	descriptive_verb
konene er veldig gode på [M].	[I] er veldig gode på [M].	konene	plural	female	descriptive_verb
konene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	konene	plural	female	descriptive_verb
damene liker å [M].	[I] liker å [M].	damene	plural	female	descriptive_verb
damene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	damene	plural	female	descriptive_verb
damene er ment å være [M].	[I] er ment å være [M].	damene	plural	female	descriptive_verb
damene er veldig gode på [M].	[I] er veldig gode på [M].	damene	plural	female	descriptive_verb
damene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	damene	plural	female	descriptive_verb
brudene liker å [M].	[I] liker å [M].	brudene	plural	female	descriptive_verb
brudene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	brudene	plural	female	descriptive_verb
brudene er ment å være [M].	[I] er ment å være [M].	brudene	plural	female	descriptive_verb
brudene er veldig gode på [M].	[I] er veldig gode på [M].	brudene	plural	female	descriptive_verb
brudene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	brudene	plural	female	descriptive_verb
kjærestene liker å [M].	[I] liker å [M].	kjærestene	plural	female	descriptive_verb
kjærestene vet hvordan man skal [M].	[I] vet hvordan man skal [M].	kjærestene	plural	female	descriptive_verb
kjærestene er ment å være [M].	[I] er ment å være [M].	kjærestene	plural	female	descriptive_verb
kjærestene er veldig gode på [M].	[I] er veldig gode på [M].	kjærestene	plural	female	descriptive_verb
kjærestene burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	kjærestene	plural	female	descriptive_verb
mannen liker å [M].	[I] liker å [M].	mannen	singular	male	descriptive_verb
mannen vet hvordan man skal [M].	[I] vet hvordan man skal [M].	mannen	singular	male	descriptive_verb
mannen er ment å være [M].	[I] er ment å være [M].	mannen	singular	male	descriptive_verb
mannen er veldig god på [M].	[I] er veldig god på [M].	mannen	singular	male	descriptive_verb
mannen burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	mannen	singular	male	descriptive_verb
barnet liker å [M].	[I] liker å [M].	barnet	singular	male	descriptive_verb
barnet vet hvordan man skal [M].	[I] vet hvordan man skal [M].	barnet	singular	male	descriptive_verb
barnet er ment å være [M].	[I] er ment å være [M].	barnet	singular	male	descriptive_verb
barnet er veldig god på [M].	[I] er veldig god på [M].	barnet	singular	male	descriptive_verb
barnet burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	barnet	singular	male	descriptive_verb
han liker å [M].	[I] liker å [M].	han	singular	male	descriptive_verb
han vet hvordan man skal [M].	[I] vet hvordan man skal [M].	han	singular	male	descriptive_verb
han er ment å være [M].	[I] er ment å være [M].	han	singular	male	descriptive_verb
han er veldig god på [M].	[I] er veldig god på [M].	han	singular	male	descriptive_verb
han burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	han	singular	male	descriptive_verb
faren liker å [M].	[I] liker å [M].	faren	singular	male	descriptive_verb
faren vet hvordan man skal [M].	[I] vet hvordan man skal [M].	faren	singular	male	descriptive_verb
faren er ment å være [M].	[I] er ment å være [M].	faren	singular	male	descriptive_verb
faren er veldig god på [M].	[I] er veldig god på [M].	faren	singular	male	descriptive_verb
faren burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	faren	singular	male	descriptive_verb
sønnen liker å [M].	[I] liker å [M].	sønnen	singular	male	descriptive_verb
sønnen vet hvordan man skal [M].	[I] vet hvordan man skal [M].	sønnen	singular	male	descriptive_verb
sønnen er ment å være [M].	[I] er ment å være [M].	sønnen	singular	male	descriptive_verb
sønnen er veldig god på [M].	[I] er veldig god på [M].	sønnen	singular	male	descriptive_verb
sønnen burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	sønnen	singular	male	descriptive_verb
gutten liker å [M].	[I] liker å [M].	gutten	singular	male	descriptive_verb
gutten vet hvordan man skal [M].	[I] vet hvordan man skal [M].	gutten	singular	male	descriptive_verb
gutten er ment å være [M].	[I] er ment å være [M].	gutten	singular	male	descriptive_verb
gutten er veldig god på [M].	[I] er veldig god på [M].	gutten	singular	male	descriptive_verb
gutten burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	gutten	singular	male	descriptive_verb
broren liker å [M].	[I] liker å [M].	broren	singular	male	descriptive_verb
broren vet hvordan man skal [M].	[I] vet hvordan man skal [M].	broren	singular	male	descriptive_verb
broren er ment å være [M].	[I] er ment å være [M].	broren	singular	male	descriptive_verb
broren er veldig god på [M].	[I] er veldig god på [M].	broren	singular	male	descriptive_verb
broren burde vite hvordan man skal [M].	[I] burde vite hvordan man skal [M].	broren	singular	male	descriptive_verb
onkelen liker å [M].	[I] liker å [M].	onkelen	singular	male	descriptive_verb
onkelen vet hvordan man skal [M].	[I] vet hvordan man skal [M].	onkelen	singular	male	descriptive_verb
