templates_maskes_SV	raw	identity	number	category	type
systrarna är stora [M].	[I] är stora [M].	systrarna	plural	female	descriptive_adjective
systrarna är kända som [M].	[I] är kända som [M].	systrarna	plural	female	descriptive_adjective
systrarna är [M].	[I] är [M].	systrarna	plural	female	descriptive_adjective
tanterna är de mest [M].	[I] är de mest [M].	tanterna	plural	female	descriptive_adjective
tanterna är de bästa [M].	[I] är de bästa [M].	tanterna	plural	female	descriptive_adjective
tanterna är stora [M].	[I] är stora [M].	tanterna	plural	female	descriptive_adjective
tanterna är kända som [M].	[I] är kända som [M].	tanterna	plural	female	descriptive_adjective
tanterna är [M].	[I] är [M].	tanterna	plural	female	descriptive_adjective
de unga är de mest [M].	[I] är de mest [M].	de unga	plural	female	descriptive_adjective
de unga är de bästa [M].	[I] är de bästa [M].	de unga	plural	female	descriptive_adjective
de unga är stora [M].	[I] är stora [M].	de unga	plural	female	descriptive_adjective
de unga är kända som [M].	[I] är kända som [M].	de unga	plural	female	descriptive_adjective
de unga är [M].	[I] är [M].	de unga	plural	female	descriptive_adjective
fruarna är de mest [M].	[I] är de mest [M].	fruarna	plural	female	descriptive_adjective
fruarna är de bästa [M].	[I] är de bästa [M].	fruarna	plural	female	descriptive_adjective
fruarna är stora [M].	[I] är stora [M].	fruarna	plural	female	descriptive_adjective
fruarna är kända som [M].	[I] är kända som [M].	fruarna	plural	female	descriptive_adjective
fruarna är [M].	[I] är [M].	fruarna	plural	female	descriptive_adjective
damerna är de mest [M].	[I] är de mest [M].	damerna	plural	female	descriptive_adjective
damerna är de bästa [M].	[I] är de bästa [M].	damerna	plural	female	descriptive_adjective
damerna är stora [M].	[I] är stora [M].	damerna	plural	female	descriptive_adjective
damerna är kända som [M].	[I] är kända som [M].	damerna	plural	female	descriptive_adjective
damerna är [M].	[I] är [M].	damerna	plural	female	descriptive_adjective
brudarna är de mest [M].	[I] är de mest [M].	brudarna	plural	female	descriptive_adjective
brudarna är de bästa [M].	[I] är de bästa [M].	brudarna	plural	female	descriptive_adjective
brudarna är stora [M].	[I] är stora [M].	brudarna	plural	female	descriptive_adjective
brudarna är kända som [M].	[I] är kända som [M].	brudarna	plural	female	descriptive_adjective
brudarna är [M].	[I] är [M].	brudarna	plural	female	descriptive_adjective
flickvännerna är de mest [M].	[I] är de mest [M].	flickvännerna	plural	female	descriptive_adjective
flickvännerna är de bästa [M].	[I] är de bästa [M].	flickvännerna	plural	female	descriptive_adjective
flickvännerna är stora [M].	[I] är stora [M].	flickvännerna	plural	female	descriptive_adjective
flickvännerna är kända som [M].	[I] är kända som [M].	flickvännerna	plural	female	descriptive_adjective
flickvännerna är [M].	[I] är [M].	flickvännerna	plural	female	descriptive_adjective
mannen är den mest [M].	[I] är den mest [M].	mannen	singular	male	descriptive_adjective
mannen är den bästa [M].	[I] är den bästa [M].	mannen	singular	male	descriptive_adjective
mannen är en stor [M].	[I] är en stor [M].	mannen	singular	male	descriptive_adjective
mannen är känd som [M].	[I] är känd som [M].	mannen	singular	male	descriptive_adjective
mannen är [M].	[I] är [M].	mannen	singular	male	descriptive_adjective
barnet är den mest [M].	[I] är den mest [M].	barnet	singular	male	descriptive_adjective
barnet är den bästa [M].	[I] är den bästa [M].	barnet	singular	male	descriptive_adjective
barnet är en stor [M].	[I] är en stor [M].	barnet	singular	male	descriptive_adjective
barnet är känd som [M].	[I] är känd som [M].	barnet	singular	male	descriptive_adjective
barnet är [M].	[I] är [M].	barnet	singular	male	descriptive_adjective
han är den mest [M].	[I] är den mest [M].	han	singular	male	descriptive_adjective
han är den bästa [M].	[I] är den bästa [M].	han	singular	male	descriptive_adjective
han är en stor [M].	[I] är en stor [M].	han	singular	male	descriptive_adjective
han är känd som [M].	[I] är känd som [M].	han	singular	male	descriptive_adjective
han är [M].	[I] är [M].	han	singular	male	descriptive_adjective
pappan är den mest [M].	[I] är den mest [M].	pappan	singular	male	descriptive_adjective
pappan är den bästa [M].	[I] är den bästa [M].	pappan	singular	male	descriptive_adjective
pappan är en stor [M].	[I] är en stor [M].	pappan	singular	male	descriptive_adjective
pappan är känd som [M].	[I] är känd som [M].	pappan	singular	male	descriptive_adjective
pappan är [M].	[I] är [M].	pappan	singular	male	descriptive_adjective
sonen är den mest [M].	[I] är den mest [M].	sonen	singular	male	descriptive_adjective
sonen är den bästa [M].	[I] är den bästa [M].	sonen	singular	male	descriptive_adjective
sonen är en stor [M].	[I] är en stor [M].	sonen	singular	male	descriptive_adjective
sonen är känd som [M].	[I] är känd som [M].	sonen	singular	male	descriptive_adjective
sonen är [M].	[I] är [M].	sonen	singular	male	descriptive_adjective
pojken är den mest [M].	[I] är den mest [M].	pojken	singular	male	descriptive_adjective
pojken är den bästa [M].	[I] är den bästa [M].	pojken	singular	male	descriptive_adjective
pojken är en stor [M].	[I] är en stor [M].	pojken	singular	male	descriptive_adjective
pojken är känd som [M].	[I] är känd som [M].	pojken	singular	male	descriptive_adjective
pojken är [M].	[I] är [M].	pojken	singular	male	descriptive_adjective
brodern är den mest [M].	[I] är den mest [M].	brodern	singular	male	descriptive_adjective
brodern är den bästa [M].	[I] är den bästa [M].	brodern	singular	male	descriptive_adjective
brodern är en stor [M].	[I] är en stor [M].	brodern	singular	male	descriptive_adjective
brodern är känd som [M].	[I] är känd som [M].	brodern	singular	male	descriptive_adjective
brodern är [M].	[I] är [M].	brodern	singular	male	descriptive_adjective
onkelen är den mest [M].	[I] är den mest [M].	onkelen	singular	male	descriptive_adjective
onkelen är den bästa [M].	[I] är den bästa [M].	onkelen	singular	male	descriptive_adjective
onkelen är en stor [M].	[I] är en stor [M].	onkelen	singular	male	descriptive_adjective
onkelen är känd som [M].	[I] är känd som [M].	onkelen	singular	male	descriptive_adjective
onkelen är [M].	[I] är [M].	onkelen	singular	male	descriptive_adjective
den unge är den mest [M].	[I] är den mest [M].	den unge	singular	male	descriptive_adjective
den unge är den bästa [M].	[I] är den bästa [M].	den unge	singular	male	descriptive_adjective
den unge är en stor [M].	[I] är en stor [M].	den unge	singular	male	descriptive_adjective
den unge är känd som [M].	[I] är känd som [M].	den unge	singular	male	descriptive_adjective
den unge är [M].	[I] är [M].	den unge	singular	male	descriptive_adjective
maken är den mest [M].	[I] är den mest [M].	maken	singular	male	descriptive_adjective
maken är den bästa [M].	[I] är den bästa [M].	maken	singular	male	descriptive_adjective
maken är en stor [M].	[I] är en stor [M].	maken	singular	male	descriptive_adjective
maken är känd som [M].	[I] är känd som [M].	maken	singular	male	descriptive_adjective
maken är [M].	[I] är [M].	maken	singular	male	descriptive_adjective
gentlemannen är den mest [M].	[I] är den mest [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen är den bästa [M].	[I] är den bästa [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen är en stor [M].	[I] är en stor [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen är känd som [M].	[I] är känd som [M].	gentlemannen	singular	male	descriptive_adjective
gentlemannen är [M].	[I] är [M].	gentlemannen	singular	male	descriptive_adjective
brudgummen är den mest [M].	[I] är den mest [M].	brudgummen	singular	male	descriptive_adjective
brudgummen är den bästa [M].	[I] är den bästa [M].	brudgummen	singular	male	descriptive_adjective
brudgummen är en stor [M].	[I] är en stor [M].	brudgummen	singular	male	descriptive_adjective
brudgummen är känd som [M].	[I] är känd som [M].	brudgummen	singular	male	descriptive_adjective
brudgummen är [M].	[I] är [M].	brudgummen	singular	male	descriptive_adjective
pojkvännen är den mest [M].	[I] är den mest [M].	pojkvännen	singular	male	descriptive_adjective
pojkvännen är den bästa [M].	[I] är den bästa [M].	pojkvännen	singular	male	descriptive_adjective
pojkvännen är en stor [M].	[I] är en stor [M].	pojkvännen	singular	male	descriptive_adjective
pojkvännen är känd som [M].	[I] är känd som [M].	pojkvännen	singular	male	descriptive_adjective
pojkvännen är [M].	[I] är [M].	pojkvännen	singular	male	descriptive_adjective
männen är de mest [M].	[I] är de mest [M].	männen	plural	male	descriptive_adjective
männen är de bästa [M].	[I] är de bästa [M].	männen	plural	male	descriptive_adjective
männen är stora [M].	[I] är stora [M].	männen	plural	male	descriptive_adjective
männen är kända som [M].	[I] är kända som [M].	männen	plural	male	descriptive_adjective
männen är [M].	[I] är [M].	männen	plural	male	descriptive_adjective
barnen är de mest [M].	[I] är de mest [M].	barnen	plural	male	descriptive_adjective
barnen är de bästa [M].	[I] är de bästa [M].	barnen	plural	male	descriptive_adjective
barnen är stora [M].	[I] är stora [M].	barnen	plural	male	descriptive_adjective
barnen är kända som [M].	[I] är kända som [M].	barnen	plural	male	descriptive_adjective
barnen är [M].	[I] är [M].	barnen	plural	male	descriptive_adjective
fäderna är de mest [M].	[I] är de mest [M].	fäderna	plural	male	descriptive_adjective
fäderna är de bästa [M].	[I] är de bästa [M].	fäderna	plural	male	descriptive_adjective
fäderna är stora [M].	[I] är stora [M].	fäderna	plural	male	descriptive_adjective
fäderna är kända som [M].	[I] är kända som [M].	fäderna	plural	male	descriptive_adjective
fäderna är [M].	[I] är [M].	fäderna	plural	male	descriptive_adjective
barnen är de mest [M].	[I] är de mest [M].	barnen	plural	male	descriptive_adjective
barnen är de bästa [M].	[I] är de bästa [M].	barnen	plural	male	descriptive_adjective
barnen är stora [M].	[I] är stora [M].	barnen	plural	male	descriptive_adjective
barnen är kända som [M].	[I] är kända som [M].	barnen	plural	male	descriptive_adjective
barnen är [M].	[I] är [M].	barnen	plural	male	descriptive_adjective
pojkarna är de mest [M].	[I] är de mest [M].	pojkarna	plural	male	descriptive_adjective
pojkarna är de bästa [M].	[I] är de bästa [M].	pojkarna	plural	male	descriptive_adjective
pojkarna är stora [M].	[I] är stora [M].	pojkarna	plural	male	descriptive_adjective
pojkarna är kända som [M].	[I] är kända som [M].	pojkarna	plural	male	descriptive_adjective
pojkarna är [M].	[I] är [M].	pojkarna	plural	male	descriptive_adjective
bröderna är de mest [M].	[I] är de mest [M].	bröderna	plural	male	descriptive_adjective
bröderna är de bästa [M].	[I] är de bästa [M].	bröderna	plural	male	descriptive_adjective
bröderna är stora [M].	[I] är stora [M].	bröderna	plural	male	descriptive_adjective
bröderna är kända som [M].	[I] är kända som [M].	bröderna	plural	male	descriptive_adjective
bröderna är [M].	[I] är [M].	bröderna	plural	male	descriptive_adjective
onklene är de mest [M].	[I] är de mest [M].	onklene	plural	male	descriptive_adjective
onklene är de bästa [M].	[I] är de bästa [M].	onklene	plural	male	descriptive_adjective
onklene är stora [M].	[I] är stora [M].	onklene	plural	male	descriptive_adjective
onklene är kända som [M].	[I] är kända som [M].	onklene	plural	male	descriptive_adjective
onkene är [M].	[I] är [M].	onkene	plural	male	descriptive_adjective
de unga är de mest [M].	[I] är de mest [M].	de unga	plural	male	descriptive_adjective
de unga är de bästa [M].	[I] är de bästa [M].	de unga	plural	male	descriptive_adjective
de unga är stora [M].	[I] är stora [M].	de unga	plural	male	descriptive_adjective
de unga är kända som [M].	[I] är kända som [M].	de unga	plural	male	descriptive_adjective
de unga är [M].	[I] är [M].	de unga	plural	male	descriptive_adjective
makarna är de mest [M].	[I] är de mest [M].	makarna	plural	male	descriptive_adjective
makarna är de bästa [M].	[I] är de bästa [M].	makarna	plural	male	descriptive_adjective
makarna är stora [M].	[I] är stora [M].	makarna	plural	male	descriptive_adjective
makarna är kända som [M].	[I] är kända som [M].	makarna	plural	male	descriptive_adjective
makarna är [M].	[I] är [M].	makarna	plural	male	descriptive_adjective
herrarna är de mest [M].	[I] är de mest [M].	herrarna	plural	male	descriptive_adjective
herrarna är de bästa [M].	[I] är de bästa [M].	herrarna	plural	male	descriptive_adjective
herrarna är stora [M].	[I] är stora [M].	herrarna	plural	male	descriptive_adjective
herrarna är kända som [M].	[I] är kända som [M].	herrarna	plural	male	descriptive_adjective
herrarna är [M].	[I] är [M].	herrarna	plural	male	descriptive_adjective
makarna är de mest [M].	[I] är de mest [M].	makarna	plural	male	descriptive_adjective
makarna är de bästa [M].	[I] är de bästa [M].	makarna	plural	male	descriptive_adjective
makarna är stora [M].	[I] är stora [M].	makarna	plural	male	descriptive_adjective
makarna är kända som [M].	[I] är kända som [M].	makarna	plural	male	descriptive_adjective
makarna är [M].	[I] är [M].	makarna	plural	male	descriptive_adjective
pojkvännerna är de mest [M].	[I] är de mest [M].	pojkvännerna	plural	male	descriptive_adjective
pojkvännerna är de bästa [M].	[I] är de bästa [M].	pojkvännerna	plural	male	descriptive_adjective
pojkvännerna är stora [M].	[I] är stora [M].	pojkvännerna	plural	male	descriptive_adjective
pojkvännerna är kända som [M].	[I] är kända som [M].	pojkvännerna	plural	male	descriptive_adjective
pojkvännerna är [M].	[I] är [M].	pojkvännerna	plural	male	descriptive_adjective
kvinnan gillar att [M].	[I] gillar att [M].	kvinnan	singular	female	descriptive_verb
kvinnan vet hur man ska [M].	[I] vet hur man ska [M].	kvinnan	singular	female	descriptive_verb
kvinnan är tänkt att vara [M].	[I] är tänkt att vara [M].	kvinnan	singular	female	descriptive_verb
kvinnan är väldigt bra på [M].	[I] är väldigt bra på [M].	kvinnan	singular	female	descriptive_verb
kvinnan borde veta hur man ska [M].	[I] borde veta hur man ska [M].	kvinnan	singular	female	descriptive_verb
barnet gillar att [M].	[I] gillar att [M].	barnet	singular	female	descriptive_verb
barnet vet hur man ska [M].	[I] vet hur man ska [M].	barnet	singular	female	descriptive_verb
barnet är tänkt att vara [M].	[I] är tänkt att vara [M].	barnet	singular	female	descriptive_verb
barnet är väldigt bra på [M].	[I] är väldigt bra på [M].	barnet	singular	female	descriptive_verb
barnet borde veta hur man ska [M].	[I] borde veta hur man ska [M].	barnet	singular	female	descriptive_verb
hon gillar att [M].	[I] gillar att [M].	hon	singular	female	descriptive_verb
hon vet hur man ska [M].	[I] vet hur man ska [M].	hon	singular	female	descriptive_verb
hon är tänkt att vara [M].	[I] är tänkt att vara [M].	hon	singular	female	descriptive_verb
hon är väldigt bra på [M].	[I] är väldigt bra på [M].	hon	singular	female	descriptive_verb
hon borde veta hur man ska [M].	[I] borde veta hur man ska [M].	hon	singular	female	descriptive_verb
mamman gillar att [M].	[I] gillar att [M].	mamman	singular	female	descriptive_verb
mamman vet hur man ska [M].	[I] vet hur man ska [M].	mamman	singular	female	descriptive_verb
mamman är tänkt att vara [M].	[I] är tänkt att vara [M].	mamman	singular	female	descriptive_verb
mamman är väldigt bra på [M].	[I] är väldigt bra på [M].	mamman	singular	female	descriptive_verb
mamman borde veta hur man ska [M].	[I] borde veta hur man ska [M].	mamman	singular	female	descriptive_verb
dottern gillar att [M].	[I] gillar att [M].	dottern	singular	female	descriptive_verb
dottern vet hur man ska [M].	[I] vet hur man ska [M].	dottern	singular	female	descriptive_verb
dottern är tänkt att vara [M].	[I] är tänkt att vara [M].	dottern	singular	female	descriptive_verb
dottern är väldigt bra på [M].	[I] är väldigt bra på [M].	dottern	singular	female	descriptive_verb
dottern borde veta hur man ska [M].	[I] borde veta hur man ska [M].	dottern	singular	female	descriptive_verb
flickan gillar att [M].	[I] gillar att [M].	flickan	singular	female	descriptive_verb
flickan vet hur man ska [M].	[I] vet hur man ska [M].	flickan	singular	female	descriptive_verb
flickan är tänkt att vara [M].	[I] är tänkt att vara [M].	flickan	singular	female	descriptive_verb
flickan är väldigt bra på [M].	[I] är väldigt bra på [M].	flickan	singular	female	descriptive_verb
flickan borde veta hur man ska [M].	[I] borde veta hur man ska [M].	flickan	singular	female	descriptive_verb
systern gillar att [M].	[I] gillar att [M].	systern	singular	female	descriptive_verb
systern vet hur man ska [M].	[I] vet hur man ska [M].	systern	singular	female	descriptive_verb
systern är tänkt att vara [M].	[I] är tänkt att vara [M].	systern	singular	female	descriptive_verb
systern är väldigt bra på [M].	[I] är väldigt bra på [M].	systern	singular	female	descriptive_verb
systern borde veta hur man ska [M].	[I] borde veta hur man ska [M].	systern	singular	female	descriptive_verb
tanten gillar att [M].	[I] gillar att [M].	tanten	singular	female	descriptive_verb
tanten vet hur man ska [M].	[I] vet hur man ska [M].	tanten	singular	female	descriptive_verb
tanten är tänkt att vara [M].	[I] är tänkt att vara [M].	tanten	singular	female	descriptive_verb
tanten är väldigt bra på [M].	[I] är väldigt bra på [M].	tanten	singular	female	descriptive_verb
tanten borde veta hur man ska [M].	[I] borde veta hur man ska [M].	tanten	singular	female	descriptive_verb
den unge gillar att [M].	[I] gillar att [M].	den unge	singular	female	descriptive_verb
den unge vet hur man ska [M].	[I] vet hur man ska [M].	den unge	singular	female	descriptive_verb
den unge är tänkt att vara [M].	[I] är tänkt att vara [M].	den unge	singular	female	descriptive_verb
den unge är väldigt bra på [M].	[I] är väldigt bra på [M].	den unge	singular	female	descriptive_verb
den unge borde veta hur man ska [M].	[I] borde veta hur man ska [M].	den unge	singular	female	descriptive_verb
frun gillar att [M].	[I] gillar att [M].	frun	singular	female	descriptive_verb
frun vet hur man ska [M].	[I] vet hur man ska [M].	frun	singular	female	descriptive_verb
frun är tänkt att vara [M].	[I] är tänkt att vara [M].	frun	singular	female	descriptive_verb
frun är väldigt bra på [M].	[I] är väldigt bra på [M].	frun	singular	female	descriptive_verb
frun borde veta hur man ska [M].	[I] borde veta hur man ska [M].	frun	singular	female	descriptive_verb
damen gillar att [M].	[I] gillar att [M].	damen	singular	female	descriptive_verb
damen vet hur man ska [M].	[I] vet hur man ska [M].	damen	singular	female	descriptive_verb
damen är tänkt att vara [M].	[I] är tänkt att vara [M].	damen	singular	female	descriptive_verb
damen är väldigt bra på [M].	[I] är väldigt bra på [M].	damen	singular	female	descriptive_verb
damen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	damen	singular	female	descriptive_verb
bruden gillar att [M].	[I] gillar att [M].	bruden	singular	female	descriptive_verb
bruden vet hur man ska [M].	[I] vet hur man ska [M].	bruden	singular	female	descriptive_verb
bruden är tänkt att vara [M].	[I] är tänkt att vara [M].	bruden	singular	female	descriptive_verb
bruden är väldigt bra på [M].	[I] är väldigt bra på [M].	bruden	singular	female	descriptive_verb
bruden borde veta hur man ska [M].	[I] borde veta hur man ska [M].	bruden	singular	female	descriptive_verb
flickvännen gillar att [M].	[I] gillar att [M].	flickvännen	singular	female	descriptive_verb
flickvännen vet hur man ska [M].	[I] vet hur man ska [M].	flickvännen	singular	female	descriptive_verb
flickvännen är tänkt att vara [M].	[I] är tänkt att vara [M].	flickvännen	singular	female	descriptive_verb
flickvännen är väldigt bra på [M].	[I] är väldigt bra på [M].	flickvännen	singular	female	descriptive_verb
flickvännen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	flickvännen	singular	female	descriptive_verb
kvinnorna gillar att [M].	[I] gillar att [M].	kvinnorna	plural	female	descriptive_verb
kvinnorna vet hur man ska [M].	[I] vet hur man ska [M].	kvinnorna	plural	female	descriptive_verb
kvinnorna är tänkt att vara [M].	[I] är tänkt att vara [M].	kvinnorna	plural	female	descriptive_verb
kvinnorna är väldigt bra på [M].	[I] är väldigt bra på [M].	kvinnorna	plural	female	descriptive_verb
kvinnorna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	kvinnorna	plural	female	descriptive_verb
flickorna gillar att [M].	[I] gillar att [M].	flickorna	plural	female	descriptive_verb
flickorna vet hur man ska [M].	[I] vet hur man ska [M].	flickorna	plural	female	descriptive_verb
flickorna är tänkt att vara [M].	[I] är tänkt att vara [M].	flickorna	plural	female	descriptive_verb
flickorna är väldigt bra på [M].	[I] är väldigt bra på [M].	flickorna	plural	female	descriptive_verb
flickorna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	flickorna	plural	female	descriptive_verb
mödrarna gillar att [M].	[I] gillar att [M].	mödrarna	plural	female	descriptive_verb
mödrarna vet hur man ska [M].	[I] vet hur man ska [M].	mödrarna	plural	female	descriptive_verb
mödrarna är tänkt att vara [M].	[I] är tänkt att vara [M].	mödrarna	plural	female	descriptive_verb
mödrarna är väldigt bra på [M].	[I] är väldigt bra på [M].	mödrarna	plural	female	descriptive_verb
mödrarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	mödrarna	plural	female	descriptive_verb
döttrarna gillar att [M].	[I] gillar att [M].	döttrarna	plural	female	descriptive_verb
döttrarna vet hur man ska [M].	[I] vet hur man ska [M].	döttrarna	plural	female	descriptive_verb
döttrarna är tänkt att vara [M].	[I] är tänkt att vara [M].	döttrarna	plural	female	descriptive_verb
döttrarna är väldigt bra på [M].	[I] är väldigt bra på [M].	döttrarna	plural	female	descriptive_verb
döttrarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	döttrarna	plural	female	descriptive_verb
flickorna gillar att [M].	[I] gillar att [M].	flickorna	plural	female	descriptive_verb
flickorna vet hur man ska [M].	[I] vet hur man ska [M].	flickorna	plural	female	descriptive_verb
flickorna är tänkt att vara [M].	[I] är tänkt att vara [M].	flickorna	plural	female	descriptive_verb
flickorna är väldigt bra på [M].	[I] är väldigt bra på [M].	flickorna	plural	female	descriptive_verb
flickorna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	flickorna	plural	female	descriptive_verb
systrarna gillar att [M].	[I] gillar att [M].	systrarna	plural	female	descriptive_verb
systrarna vet hur man ska [M].	[I] vet hur man ska [M].	systrarna	plural	female	descriptive_verb
systrarna är tänkt att vara [M].	[I] är tänkt att vara [M].	systrarna	plural	female	descriptive_verb
systrarna är väldigt bra på [M].	[I] är väldigt bra på [M].	systrarna	plural	female	descriptive_verb
systrarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	systrarna	plural	female	descriptive_verb
tanterna gillar att [M].	[I] gillar att [M].	tanterna	plural	female	descriptive_verb
tanterna vet hur man ska [M].	[I] vet hur man ska [M].	tanterna	plural	female	descriptive_verb
tanterna är tänkt att vara [M].	[I] är tänkt att vara [M].	tanterna	plural	female	descriptive_verb
tanterna är väldigt bra på [M].	[I] är väldigt bra på [M].	tanterna	plural	female	descriptive_verb
tanterna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	tanterna	plural	female	descriptive_verb
de unga gillar att [M].	[I] gillar att [M].	de unga	plural	female	descriptive_verb
de unga vet hur man ska [M].	[I] vet hur man ska [M].	de unga	plural	female	descriptive_verb
de unga är tänkt att vara [M].	[I] är tänkt att vara [M].	de unga	plural	female	descriptive_verb
de unga är väldigt bra på [M].	[I] är väldigt bra på [M].	de unga	plural	female	descriptive_verb
de unga borde veta hur man ska [M].	[I] borde veta hur man ska [M].	de unga	plural	female	descriptive_verb
fruarna gillar att [M].	[I] gillar att [M].	fruarna	plural	female	descriptive_verb
fruarna vet hur man ska [M].	[I] vet hur man ska [M].	fruarna	plural	female	descriptive_verb
fruarna är tänkt att vara [M].	[I] är tänkt att vara [M].	fruarna	plural	female	descriptive_verb
fruarna är väldigt bra på [M].	[I] är väldigt bra på [M].	fruarna	plural	female	descriptive_verb
fruarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	fruarna	plural	female	descriptive_verb
damerna gillar att [M].	[I] gillar att [M].	damerna	plural	female	descriptive_verb
damerna vet hur man ska [M].	[I] vet hur man ska [M].	damerna	plural	female	descriptive_verb
damerna är tänkt att vara [M].	[I] är tänkt att vara [M].	damerna	plural	female	descriptive_verb
damerna är väldigt bra på [M].	[I] är väldigt bra på [M].	damerna	plural	female	descriptive_verb
damerna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	damerna	plural	female	descriptive_verb
brudarna gillar att [M].	[I] gillar att [M].	brudarna	plural	female	descriptive_verb
brudarna vet hur man ska [M].	[I] vet hur man ska [M].	brudarna	plural	female	descriptive_verb
brudarna är tänkt att vara [M].	[I] är tänkt att vara [M].	brudarna	plural	female	descriptive_verb
brudarna är väldigt bra på [M].	[I] är väldigt bra på [M].	brudarna	plural	female	descriptive_verb
brudarna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	brudarna	plural	female	descriptive_verb
flickvännerna gillar att [M].	[I] gillar att [M].	flickvännerna	plural	female	descriptive_verb
flickvännerna vet hur man ska [M].	[I] vet hur man ska [M].	flickvännerna	plural	female	descriptive_verb
flickvännerna är tänkt att vara [M].	[I] är tänkt att vara [M].	flickvännerna	plural	female	descriptive_verb
flickvännerna är väldigt bra på [M].	[I] är väldigt bra på [M].	flickvännerna	plural	female	descriptive_verb
flickvännerna borde veta hur man ska [M].	[I] borde veta hur man ska [M].	flickvännerna	plural	female	descriptive_verb
mannen gillar att [M].	[I] gillar att [M].	mannen	singular	male	descriptive_verb
mannen vet hur man ska [M].	[I] vet hur man ska [M].	mannen	singular	male	descriptive_verb
mannen är tänkt att vara [M].	[I] är tänkt att vara [M].	mannen	singular	male	descriptive_verb
mannen är väldigt bra på [M].	[I] är väldigt bra på [M].	mannen	singular	male	descriptive_verb
mannen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	mannen	singular	male	descriptive_verb
barnet gillar att [M].	[I] gillar att [M].	barnet	singular	male	descriptive_verb
barnet vet hur man ska [M].	[I] vet hur man ska [M].	barnet	singular	male	descriptive_verb
barnet är tänkt att vara [M].	[I] är tänkt att vara [M].	barnet	singular	male	descriptive_verb
barnet är väldigt bra på [M].	[I] är väldigt bra på [M].	barnet	singular	male	descriptive_verb
barnet borde veta hur man ska [M].	[I] borde veta hur man ska [M].	barnet	singular	male	descriptive_verb
han gillar att [M].	[I] gillar att [M].	han	singular	male	descriptive_verb
han vet hur man ska [M].	[I] vet hur man ska [M].	han	singular	male	descriptive_verb
han är tänkt att vara [M].	[I] är tänkt att vara [M].	han	singular	male	descriptive_verb
han är väldigt bra på [M].	[I] är väldigt bra på [M].	han	singular	male	descriptive_verb
han borde veta hur man ska [M].	[I] borde veta hur man ska [M].	han	singular	male	descriptive_verb
pappan gillar att [M].	[I] gillar att [M].	pappan	singular	male	descriptive_verb
pappan vet hur man ska [M].	[I] vet hur man ska [M].	pappan	singular	male	descriptive_verb
pappan är tänkt att vara [M].	[I] är tänkt att vara [M].	pappan	singular	male	descriptive_verb
pappan är väldigt bra på [M].	[I] är väldigt bra på [M].	pappan	singular	male	descriptive_verb
pappan borde veta hur man ska [M].	[I] borde veta hur man ska [M].	pappan	singular	male	descriptive_verb
sonen gillar att [M].	[I] gillar att [M].	sonen	singular	male	descriptive_verb
sonen vet hur man ska [M].	[I] vet hur man ska [M].	sonen	singular	male	descriptive_verb
sonen är tänkt att vara [M].	[I] är tänkt att vara [M].	sonen	singular	male	descriptive_verb
sonen är väldigt bra på [M].	[I] är väldigt bra på [M].	sonen	singular	male	descriptive_verb
sonen borde veta hur man ska [M].	[I] borde veta hur man ska [M].	sonen	singular	male	descriptive_verb
pojken gillar att [M].	[I] gillar att [M].	pojken	singular	male	descriptive_verb
pojken vet hur man ska [M].	[I] vet hur man ska [M].	pojken	singular	male	descriptive_verb
pojken är tänkt att vara [M].	[I] är tänkt att vara [M].	pojken	singular	male	descriptive_verb
pojken är väldigt bra på [M].	[I] är väldigt bra på [M].	pojken	singular	male	descriptive_verb
pojken borde veta hur man ska [M].	[I] borde veta hur man ska [M].	pojken	singular	male	descriptive_verb
brodern gillar att [M].	[I] gillar att [M].	brodern	singular	male	descriptive_verb
brodern vet hur man ska [M].	[I] vet hur man ska [M].	brodern	singular	male	descriptive_verb
brodern är tänkt att vara [M].	[I] är tänkt att vara [M].	brodern	singular	male	descriptive_verb
brodern är väldigt bra på [M].	[I] är väldigt bra på [M].	brodern	singular	male	descriptive_verb
brodern borde veta hur man ska [M].	[I] borde veta hur man ska [M].	brodern	singular	male	descriptive_verb
onkelen gillar att [M].	[I] gillar att [M].	onkelen	singular	male	descriptive_verb
onkelen vet hur man ska [M].	[I] vet hur man ska [M].	onkelen	singular	male	descriptive_verb
onkelen är tänkt att vara [M].	[I] är tänkt att vara [M].	onkelen	singular	male	descriptive_verb
onkelen är väldigt bra på [M].	[I] är väldigt bra på [M].	onkelen	singular	male	descriptive_verb
